codigodanedepartamento,codigodanemunicipio,tipoarea,ano,mes,condicion
18,18753,1,2008,10,2
81,81794,1,2009,2,2
81,81065,1,2009,2,2
5,579,1,2009,5,2
54,54398,1,2009,5,2
5,5045,1,2009,5,2
5,5045,1,2009,5,2
95,952,1,2009,5,2
54,54347,1,2009,5,2
54,54347,1,2009,5,2
81,81794,1,2009,6,2
18,1815,1,2009,5,2
97,97161,1,2009,5,2
97,97161,1,2009,5,2
86,86569,1,2009,6,2
5,504,1,2009,6,2
52,52573,1,2009,6,2
52,52573,1,2009,6,2
52,52573,1,2009,6,2
52,52573,1,2009,6,2
52,52573,1,2009,6,2
52,52573,1,2009,6,2
52,52573,1,2009,6,2
52,52573,1,2009,6,2
54,54398,1,2009,6,2
5,512,1,2009,5,2
73,73616,1,2009,6,2
73,73616,1,2009,6,2
76,7652,1,2009,6,2
81,81794,1,2009,6,2
5,5361,1,2009,6,2
23,2358,1,2009,6,2
23,2358,1,2009,6,2
13,1316,1,2009,6,2
19,19392,1,2009,2,1
50,50711,1,2009,6,2
54,54206,1,2009,6,2
18,1861,1,2002,5,1
81,81794,1,2009,2,1
5,579,1,2009,6,2
50,50711,1,1999,4,1
5,579,1,2009,6,2
5,5854,1,2003,5,1
13,13244,1,2008,12,1
50,50313,1,2,4,1
13,13549,1,2,9,1
50,50313,1,1998,9,1
13,13244,1,2008,12,1
41,41298,1,2009,6,2
50,50313,1,2007,4,1
5,5234,1,2009,6,2
17,17662,1,2009,6,1
76,7652,1,2009,6,2
44,44847,1,2009,6,1
44,44847,1,2009,6,1
81,81794,1,2009,5,1
18,18592,1,2009,2,1
73,73622,1,2009,6,2
50,50711,1,2009,6,1
5,5854,1,2009,6,2
95,952,1,2005,1,1
81,81794,1,2009,6,2
81,81794,1,2009,6,2
81,81794,1,2009,6,2
81,81794,1,2009,6,2
81,81794,1,2009,6,2
81,81794,1,2009,6,2
81,81794,1,2009,6,2
5,5756,1,2009,6,2
5,5756,1,2009,6,2
5,5756,1,2009,6,2
5,579,1,2009,6,2
5,579,1,2009,7,2
5,5134,1,2009,7,2
5,512,1,2009,7,2
5,512,1,2009,7,2
5,512,1,2009,7,2
5,512,1,2009,7,2
73,73624,1,2009,4,2
5,5543,1,2009,4,2
52,52427,1,2009,4,2
5,5652,1,2009,4,2
5,5652,1,2009,4,2
13,13042,1,2009,4,2
52,5225,1,2009,4,2
5,5854,1,2009,4,1
5,5895,1,2009,5,1
97,97161,1,2009,5,2
52,52678,1,2009,6,1
52,52678,1,2009,6,1
52,52678,1,2009,6,1
18,18592,1,2009,6,1
81,81794,1,2009,2,1
81,81794,1,2009,2,1
50,50683,1,2009,7,1
52,52678,1,2009,7,1
54,54344,1,2009,7,2
18,18753,1,2009,7,2
5,5895,1,2009,5,1
50,5037,1,2009,7,2
95,95001,1,2008,1,1
54,5425,1,2008,8,1
5,5313,1,2006,8,1
5,5756,1,2006,6,1
5,5154,1,2007,8,1
13,13244,1,2004,1,1
13,13244,1,2003,4,1
13,13655,1,2,4,1
13,13655,1,2,4,1
50,5059,1,2009,6,1
52,52385,1,2007,10,1
20,20228,1,2005,2,1
44,44279,1,2001,5,1
18,18753,1,2009,7,2
76,76275,1,2009,7,2
76,76275,1,2009,7,2
18,18592,1,2009,7,2
23,2358,1,2009,7,2
23,2358,1,2009,7,2
50,50251,1,2009,7,2
5,579,1,2009,7,2
54,54344,1,2009,7,2
5,579,1,2009,7,2
5,579,1,2009,7,2
5,579,1,2008,7,1
11,11001,1,2009,7,2
95,95001,1,2009,8,2
5,5543,1,2009,8,2
5,5031,1,2009,8,2
19,1911,1,2009,8,2
23,2358,1,2009,8,2
76,76275,1,2009,8,2
76,76275,1,2009,8,2
41,41359,1,2009,8,2
50,50683,1,2009,8,2
5,5045,1,2009,7,2
86,86571,1,2009,8,2
50,50251,1,2009,8,2
50,50251,1,2009,8,2
52,52699,1,2009,8,2
13,13894,1,2005,1,1
18,18256,1,2009,4,1
13,13244,1,2003,4,1
44,44847,1,2009,6,1
20,20001,1,1994,5,1
81,81794,1,2009,5,1
5,5134,1,2009,7,2
5,5756,1,2009,6,2
23,2358,1,2009,6,2
20,204,1,2003,8,1
20,20228,1,2009,2,1
27,27615,1,2009,3,1
5,5854,1,2009,3,1
95,952,1,2009,8,1
95,952,1,2009,8,1
18,1815,1,2009,8,1
5,5854,1,2009,4,1
5,5854,2,2009,4,1
5,504,2,2009,4,1
5,579,1,2007,11,1
50,50683,1,2004,11,1
5,5313,1,2004,7,1
5,5313,2,2003,2,1
5,5313,1,2003,6,1
5,5313,1,1999,11,1
5,5313,1,2003,7,1
